"id","latitude","longitude","elevation","state","name","gsn_flag","hcn_crn_flag","wmoid","geopoint"
US1LACD0006,32.3653,-93.7054,57,LA,SHREVEPORT 9.1 SE             ,   ,   ,,POINT(-93.7054 32.3653)
US1LABG0004,30.8474,-93.2766,57,LA,FSA-DE RIDDER 0.9 E           ,   ,   ,,POINT(-93.2766 30.8474)
USC00161899,30.8178,-90.9733,61,LA,CLINTON 5 SE                  ,   ,   ,,POINT(-90.9733 30.8178)
USC00168444,32.3919,-93.7803,61,LA,SHREVEPORT STHRN HILLS        ,   ,   ,,POINT(-93.7803 32.3919)
USC00160718,32.6997,-93.6619,61,LA,BENTON 5E                     ,   ,   ,,POINT(-93.6619 32.6997)
US1LATG0003,30.7401,-90.4407,61,LA,AMITE CITY 4.1 E              ,   ,   ,,POINT(-90.4407 30.7401)
USC00162525,32.1,-92.5833,61,LA,DODSON 6 ENE                  ,   ,   ,,POINT(-92.5833 32.1)
USC00167950,32.9667,-94,61,LA,RODESSA                       ,   ,   ,,POINT(-94 32.9667)
USC00168669,32.9006,-92.5714,61,LA,SPEARSVILLE FIRE TWR          ,   ,   ,,POINT(-92.5714 32.9006)
USC00164816,32.355,-93.8619,61,LA,KEITHVILLE                    ,   ,   ,,POINT(-93.8619 32.355)
USR0000LKIS,31.495,-93.1981,61,LA,KISATCHIE - FTS LOUISIANA     ,   ,   ,,POINT(-93.1981 31.495)
USC00166364,32.7053,-93.9603,61,LA,MOORINGSPORT 1 N              ,   ,   ,,POINT(-93.9603 32.7053)
USC00163326,30.9333,-90.1833,61,LA,FRANKLINTON 6 NNW             ,   ,   ,,POINT(-90.1833 30.9333)
USC00164453,31.9833,-93.8333,82,LA,HUNTER                        ,   ,   ,,POINT(-93.8333 31.9833)
USC00164384,31.3833,-93.4,110,LA,HORNBECK HODGES EXP A         ,   ,   ,,POINT(-93.4 31.3833)
USW00063903,31.1136,-92.9656,114,LA,FT POLK - SELF STRIP          ,   ,   ,,POINT(-92.9656 31.1136)
USW00053988,31.15,-92.9667,94.5,LA,FT POLK FULLERTON LNDG STRIP  ,   ,   ,,POINT(-92.9667 31.15)
USC00161941,31.5183,-92.7142,33.5,LA,COLFAX                        ,   ,   ,,POINT(-92.7142 31.5183)
USC00161232,31.3944,-92.7164,33.5,LA,BOYCE 3 WNW                   ,   ,   ,,POINT(-92.7164 31.3944)
USC00166836,30.8214,-92.6697,33.5,LA,OAKDALE                       ,   ,   ,,POINT(-92.6697 30.8214)
US1LARR0001,32.0399,-93.3234,55.5,LA,COUSHATTA 1.4 NE              ,   ,   ,,POINT(-93.3234 32.0399)
US1LADS0006,32.3217,-93.7578,55.5,LA,STONEWALL 5.3 NE              ,   ,   ,,POINT(-93.7578 32.3217)
US1LAWF0005,30.9799,-91.3573,71,LA,ASHWOOD 5.7 SW                ,   ,   ,,POINT(-91.3573 30.9799)
USC00164398,32.8867,-93.8733,75,LA,HOSSTON                       ,   ,   ,,POINT(-93.8733 32.8867)
USC00161446,31.0667,-93.2,107,LA,CAMP POLK                     ,   ,   ,,POINT(-93.2 31.0667)
USC00168448,32.4514,-93.8417,83.5,LA,SHREVEPORT WFO                ,   ,   ,,POINT(-93.8417 32.4514)
US1LAOR0006,29.9617,-90.0388,2.4,LA,NEW ORLEANS 2.1 ENE           ,   ,   ,,POINT(-90.0388 29.9617)
US1LAVM0008,29.9555,-92.1571,3.4,LA,ABBEVILLE 1.9 SW              ,   ,   ,,POINT(-92.1571 29.9555)
USC00165065,30.0206,-92.7681,3.4,LA,LAKE ARTHUR 7 SW              ,   ,   ,,POINT(-92.7681 30.0206)
USR0000LBBR,30.3167,-89.9333,3.4,LA,BIG BRANCH NWR LOUISIANA      ,   ,   ,,POINT(-89.9333 30.3167)
USC00169376,30.1992,-93.6778,3.4,LA,VINTON 5W                     ,   ,   ,,POINT(-93.6778 30.1992)
US1LAAS0011,30.1519,-90.9289,4.3,LA,GONZALES 4.5 S                ,   ,   ,,POINT(-90.9289 30.1519)
US1LATG0004,30.4532,-90.5011,4.3,LA,HAMMOND 4.5 SSW               ,   ,   ,,POINT(-90.5011 30.4532)
US1LAST0018,30.2917,-89.7365,4.3,LA,SLIDELL 2.6 ENE               ,   ,   ,,POINT(-89.7365 30.2917)
US1LACC0015,30.2297,-93.2167,4.3,LA,LAKE CHARLES 1.5 NNW          ,   ,   ,,POINT(-93.2167 30.2297)
US1LAIB0002,30.0346,-91.7775,4.3,LA,NEW IBERIA 3.1 NE             ,   ,   ,,POINT(-91.7775 30.0346)
USC00166431,30.2944,-93.2078,5.8,LA,MOSS BLUFF                    ,   ,   ,,POINT(-93.2078 30.2944)
US1LAAC0001,30.2242,-92.3819,5.8,LA,CROWLEY 0.9 NNW               ,   ,   ,,POINT(-92.3819 30.2242)
US1LAIV0006,30.3097,-91.1185,5.8,LA,ST. GABRIEL 2.8 NNW           ,   ,   ,,POINT(-91.1185 30.3097)
USC00166657,30.0375,-91.8839,7.3,LA,NEW IBERIA ACADIANA AP        ,   ,   ,,POINT(-91.8839 30.0375)
US1LAOR0013,29.9209,-90.107,7.3,LA,WESTWEGO 2.4 ENE              ,   ,   ,,POINT(-90.107 29.9209)
USW00053915,30.0375,-91.8839,7.3,LA,NEW IBERIA ACADIANA RGNL AP   ,   ,   ,,POINT(-91.8839 30.0375)
USC00168715,30.4333,-90.65,9.1,LA,SPRINGVILLE FIRE TWR          ,   ,   ,,POINT(-90.65 30.4333)
USC00160021,30.4372,-90.0519,9.1,LA,ABITA SPRINGS FIRE TWR        ,   ,   ,,POINT(-90.0519 30.4372)
US1LATG0002,30.4956,-90.4965,9.1,LA,HAMMOND 2.3 WSW               ,   ,   ,,POINT(-90.4965 30.4956)
USC00167432,30.25,-90.1167,9.1,LA,PONTCHARTRAIN CAUSEWAY        ,   ,   ,,POINT(-90.1167 30.25)
